file_path,file_type,size_or_dimensions,current_usage,alt_text,ownership_status,privacy_risk,authenticity_status,recommended_action,future_usage,notes
frontend/public/images/profile.png,PNG image,"411,405 bytes; dimensions not measured (no image-inspection tool used)","Home hero portrait (primary), About page primary portrait, og:image / twitter:image / JSON-LD image in index.html","Varies by usage: 'Shahriyar Khan — Software Engineer' (og:image:alt), 'Professional headshot of Shahriyar Khan' (about.tsx) - two different alt strings for the same file",Presumed owned by site owner (personal photo),Low (already public-facing),Authentic (real personal photograph),Keep,Primary headshot for the rebuilt site,Recommend a single canonical alt-text string per image rather than per-usage variants.
frontend/public/images/shary photo.jpeg,JPEG image,"129,579 bytes; dimensions not measured","Home hero portrait (secondary, cross-fade), About page secondary portrait",'Shahriyar Khan in a professional workspace' (index.tsx) vs 'Shahriyar Khan in a professional workspace setting' (about.tsx) - inconsistent alt text,Presumed owned by site owner (personal photo),Low (already public-facing),Authentic (real personal photograph),"Keep, consider renaming",Secondary/context portrait,"Filename contains a literal space and is referenced URL-encoded ('shary%20photo.jpeg') in source - works, but fragile; rename to a hyphenated filename in the rebuild."
frontend/public/images/noteassisstai_homepage.png,PNG image,"1,074,796 bytes; dimensions not measured","NoteAssist AI project card preview_image (home, projects list, project detail fallback)","Dynamically generated ('Screenshot of {project title}'), not a fixed stored string",Presumed owned by site owner (own project screenshot),Low,Authentic (appears to be a real product screenshot based on filename/context),"Keep, optimize",Case-study hero/preview image for /work/[slug],Filename has a typo ('noteassisstai' - double s) inherited from the project's own working name; cosmetic only.
frontend/public/images/noteassistai.landingpage.jpeg,JPEG image,"988,055 bytes; dimensions not measured",NoteAssist AI featured_image (project detail gallery fallback),Dynamically generated ('{project title} screenshot N'),Presumed owned by site owner,Low,Authentic (appears to be a real product screenshot),"Keep, optimize",Case-study gallery image,Large file size (~1MB) for a web image with no evidence of responsive/compressed variants - optimize before reuse.
frontend/public/images/sk-learntrack_homepage.png,PNG image,"674,488 bytes; dimensions not measured",SK-LearnTrack project card preview_image,Dynamically generated alt text,Presumed owned by site owner,Low,Authentic (appears to be a real product screenshot),"Keep, optimize",Case-study hero/preview image,
frontend/public/images/sk-learntrack.landinpage.jpeg,JPEG image,"627,531 bytes; dimensions not measured",SK-LearnTrack featured_image (project detail gallery fallback),Dynamically generated alt text,Presumed owned by site owner,Low,Authentic (appears to be a real product screenshot),"Keep, optimize",Case-study gallery image,"Filename has a typo ('landinpage' missing a 'd') - cosmetic only, but confirm before any automated rename tooling relies on exact filenames."
frontend/public/images/Feelwise_homepage.png,PNG image,"562,688 bytes; dimensions not measured",FeelWise project card preview_image,Dynamically generated alt text,Presumed owned by site owner,Low,Authentic (appears to be a real product screenshot),"Keep, optimize",Case-study hero/preview image,
frontend/public/images/feelwise-emotion-detection.landingpage.jpeg,JPEG image,"1,779,568 bytes; dimensions not measured",FeelWise featured_image (project detail gallery fallback),Dynamically generated alt text,Presumed owned by site owner,Low,Authentic (appears to be a real product screenshot),"Keep, optimize",Case-study gallery image,Largest image asset in the repo (~1.7MB) - compress or convert to a modern format (WebP/AVIF) in the rebuild.
frontend/public/images/RMS_homepage.png,PNG image,"55,711 bytes; dimensions not measured","Advanced Restaurant Management System preview_image, featured_image, and first detail_images entry",Dynamically generated alt text,Presumed owned by site owner,Low,Authentic (appears to be a real desktop-app screenshot),"Keep, optimize",Case-study hero/preview image,
frontend/public/images/RMS_Order_M.png,PNG image,"77,570 bytes; dimensions not measured",Advanced Restaurant Management System detail_images entry (order screen),Dynamically generated alt text,Presumed owned by site owner,Low,Authentic (appears to be a real desktop-app screenshot),Keep,Case-study gallery image,
frontend/public/images/RMS_Emplyee_M.png,PNG image,"68,493 bytes; dimensions not measured",Advanced Restaurant Management System detail_images entry (employee screen),Dynamically generated alt text,Presumed owned by site owner,Low,Authentic (appears to be a real desktop-app screenshot),"Keep, consider renaming",Case-study gallery image,Filename has a typo ('Emplyee') - cosmetic only.
frontend/public/placeholder.svg,SVG image,"28,665 bytes; dimensions not measured",None found - repo-wide search found zero references to this file from any source file,Not applicable (unused),Unknown - likely a leftover from the Vite/shadcn starter template this project was scaffolded from,"None (unused, not exposed as content)","Decorative/unknown (generic placeholder graphic, not project-specific)",Retire,None,"Confirmed via grep that no .tsx/.ts file references 'placeholder.svg' - safe to drop unless the rebuild wants a generic fallback graphic, in which case re-evaluate on its own merits."
frontend/public/resume/Shahriyar_Khan_Software_Engineer.pdf,PDF document,"268,930 bytes",Direct download link on the /resume page ('Download Resume (PDF)'); also the canonical CV artifact referenced conceptually by the resume_builder backend app (though not actually linked to any ResumeExport record),Not applicable (binary document),Presumed owned by site owner (own CV),"Private/personal document - contents were not opened or inspected by this audit, per instruction to avoid unnecessary exposure of document contents",Presumed authentic (a real CV file),"Keep, request approval on version currency",Résumé download asset for /career (or wherever the rebuild lands résumé download),Confirm this is the current/approved version before carrying it into the rebuild; also confirm whether it should be regenerated from the ResumeVersion/ResumeExport backend models instead of hand-maintained as a static file.
Unsplash-sourced remote images (no local file - fetched at seed time by URL),"Remote JPEG (downloaded, not committed to the repo)",Not applicable - never committed as a repo file; fetched at runtime from images.unsplash.com by backend/apps/core/management/commands/seed_insightboard_project.py and seed_portfolio_data.py,Seeded as preview_image/featured_image for the 'InsightBoard CRM' project record only,Generic Unsplash caption text (not project-specific),Not owned - generic third-party stock photography,Medium - presenting stock photography as a specific product's screenshots is misleading to a site visitor,"Synthetic/decorative - confirmed generic stock photos (Unsplash), not real product screenshots",Retire pending owner decision on InsightBoard CRM's status,None unless InsightBoard CRM is confirmed real and re-shot with authentic screenshots,See CONTENT_TRUTH_INVENTORY.md and OPEN_DECISIONS.md - this is the clearest instance of exactly the synthetic/decorative content this rebuild must not carry forward without explicit verification.
