existing_route,current_source,current_behavior,current_purpose,search_value,proposed_route,action,canonical_target,indexable,redirect_status,content_dependency,verification_status,notes
/,frontend/src/routes/index.tsx (via App.tsx dispatch),"Live on shahriyarkhan.vercel.app, HTTP 200","Home/hero, stats strip, experience timeline, featured projects, skills snapshot, services preview, education, CTA",High (only indexable page confirmed live),/,Rewrite,https://<new-canonical-domain>/,yes,n/a (same path),"SiteSetting, Project, Service, Experience API calls (all fallback to hardcoded data client-side)",Repo-confirmed + live-checked 2026-08-27 (200),Canonical domain itself is undecided; see OPEN_DECISIONS.md.
/about,frontend/src/routes/about.tsx,Live route in code; direct request to shahriyarkhan.vercel.app/about returned HTTP 404 on 2026-08-27 (Vercel rewrite not honored),Bio/philosophy/highlights page,Unknown (unreachable directly by crawlers today),/about,Rewrite,https://<new-canonical-domain>/about,yes,n/a (same path),SEO API call to /api/v1/public/seo/pages/about/ (falls back to hardcoded meta),Repo-confirmed route; live-checked 404 2026-08-27,"Deep-link/refresh failure is a current production defect, not a rebuild design question."
/skills,frontend/src/routes/skills.tsx,Live route in code; not live-checked directly (same Vercel rewrite defect applies to all non-root paths),Categorized skill bars with numeric proficiency,Unknown,/about,Investigate,https://<new-canonical-domain>/about (folded in) or retired,yes if folded into /about; no if retired as standalone,n/a,Skill/SkillCategory API (fallback to hardcoded list + percentages),Repo-confirmed route only,Proposed future IA has no standalone /skills route; recommend folding a lightweight version into /about or /work rather than inventing a new top-level route not in the approved IA.
/services,frontend/src/routes/services.tsx,Live route in code; not live-checked directly (Vercel rewrite defect),Service catalog + 'Request a Service' lead-capture form (posts to /api/v1/public/inquiries/service-requests/),Unknown,/services,Rewrite,https://<new-canonical-domain>/services,yes,n/a (same path),Service API list; ServiceRequest creation endpoint,Repo-confirmed route only,"Which of the 7 listed services are genuinely deliverable now is an open content question, not a routing question."
/projects,frontend/src/routes/projects.tsx,Live route in code; not live-checked directly (Vercel rewrite defect),Project grid with live-preview hover panels,Unknown,/work,Rewrite,https://<new-canonical-domain>/work,yes,301 redirect from /projects to /work,Project API list,Repo-confirmed route only,Old slugs should be preserved under the new path so no inbound link is lost.
/projects/:slug,frontend/src/routes/projects.$slug.tsx (regex-matched in App.tsx),Live route in code; direct request to a real slug (sk-learntrack-ai-learning-platform) returned HTTP 404 on 2026-08-27,Per-project case study page (overview/problem/solution/outcome/gallery),Unknown (unreachable directly today),/work/[slug],Rewrite,https://<new-canonical-domain>/work/[slug],yes for genuine projects; no (410) for InsightBoard CRM pending approval,301 redirect from /projects/[slug] to /work/[slug] for each existing slug,Project detail API (with case-study fields); ProjectImage gallery (uncommitted feature),Repo-confirmed route; live-checked 404 2026-08-27,"See CONTENT_TRUTH_INVENTORY.md - InsightBoard CRM slug should not be relaunched without explicit verification of the project and its images. P01A (2026-08-27): InsightBoard CRM is now seeded with status=draft in both seed scripts, so /api/v1/public/portfolio/projects/insightboard-crm-sales-intelligence-dashboard/ returns 404 and the slug is excluded from the sitemap - verified locally with a real seeded SQLite database, not yet re-verified against production."
/resume,frontend/src/routes/resume.tsx,Live route in code; not live-checked directly (Vercel rewrite defect),"Inline ATS-style resume preview + PDF download link (static file, not backend-served)",Unknown,/career,Investigate,https://<new-canonical-domain>/career (proposed merge target),yes,301 redirect from /resume to /career if merged; keep a direct PDF download link regardless of route decision,ResumeVersion API (fallback to hardcoded resume text); static PDF asset,Repo-confirmed route only,"Proposed future IA has no standalone /resume route; /career is the closest fit for structured experience+education+CV-download. Needs an explicit decision, not an assumption."
/contact,frontend/src/routes/contact.tsx,Live route in code; not live-checked directly (Vercel rewrite defect),Contact info + lead-capture form (posts to /api/v1/public/inquiries/contact/),Unknown,/contact,Rewrite,https://<new-canonical-domain>/contact,yes,n/a (same path),"SiteSetting (contact fields), Service list (for the optional service-type dropdown)",Repo-confirmed route only,
"/* (unmatched path, client-rendered 404)",frontend/src/App.tsx NotFoundPage,Rendered client-side only after JS loads; server layer (Vercel) currently returns its own 404 for the same paths before the SPA ever runs,Fallback not-found page,None (should stay non-indexable),/* (404),Keep,n/a,no,n/a,None,Repo-confirmed,Two different 404 behaviors currently coexist (Vercel edge 404 vs in-app 404) depending on whether the path was ever server-rendered; rebuild should have exactly one.
/ (backend API root banner),backend/config/urls.py api_root(),"Live on shahriyarkhan.onrender.com, HTTP 200, returns a small JSON banner",Human-readable 'is the API alive' banner,"None (API root, not a content page)",n/a (internal API health banner),Keep,https://<new-canonical-api-domain>/,no,n/a,None,Repo-confirmed + live-checked 200 2026-08-27,"Note: JSON banner hardcodes 'frontend_local: http://localhost:8081', inconsistent with the actual Vite dev port used elsewhere (5173) - stale/incorrect string, not a real route issue."
